device,useragent
iphone,"Mozilla/5.0 (iPhone; CPU iPhone OS 7_8_7; like Mac OS X) AppleWebKit/533.40 (KHTML, like Gecko) Chrome/52.0.2186.364 Mobile Safari/602.5"
android,"Mozilla/5.0 (Linux; U; Android 7.1; Xperia V Build/NDE63X) AppleWebKit/537.6 (KHTML, like Gecko) Chrome/47.0.3145.360 Mobile Safari/600.4"
iphone,"Mozilla/5.0 (iPhone; CPU iPhone OS 8_6_5; like Mac OS X) AppleWebKit/536.21 (KHTML, like Gecko) Chrome/52.0.3587.259 Mobile Safari/601.3"
edge,"Mozilla/5.0 (Windows; U; Windows NT 10.0;) AppleWebKit/603.1 (KHTML, like Gecko) Chrome/50.0.1361.119 Safari/534.1 Edge/9.15306"
firefox,Mozilla/5.0 (U; Linux x86_64; en-US) Gecko/20130401 Firefox/51.6
android,"Mozilla/5.0 (Android; Android 4.3.1; HTC Xplorer A300e Build/GRJ90) AppleWebKit/601.5 (KHTML, like Gecko) Chrome/48.0.1122.313 Mobile Safari/536.4"
chrome,"Mozilla/5.0 (Linux i656 ; en-US) AppleWebKit/533.26 (KHTML, like Gecko) Chrome/54.0.2419.222 Safari/602"
firefox,Mozilla/5.0 (Windows NT 6.0; WOW64) Gecko/20130401 Firefox/64.8
linux,"Mozilla/5.0 (Linux x86_64) AppleWebKit/536.32 (KHTML, like Gecko) Chrome/54.0.3861.326 Safari/535"
windows,Mozilla/5.0 (Windows; U; Windows NT 10.0; Win64; x64; en-US) Gecko/20100101 Firefox/61.8
windows,Mozilla/5.0 (compatible; MSIE 8.0; Windows; U; Windows NT 6.0;; en-US Trident/4.0)
firefox,Mozilla/5.0 (Linux; U; Linux x86_64) Gecko/20100101 Firefox/66.8
edge,"Mozilla/5.0 (Windows; Windows NT 10.4; WOW64) AppleWebKit/535.1 (KHTML, like Gecko) Chrome/53.0.2465.386 Safari/603.4 Edge/10.94890"
mac,"Mozilla/5.0 (Macintosh; U; Intel Mac OS X 9_1_5; en-US) AppleWebKit/533.31 (KHTML, like Gecko) Chrome/50.0.3654.290 Safari/601"
